,datetime,video_id,video_title,upload_date,view_count,like_count,subscriber_count,comment_count
0,2021-12-22 20:13:23.598610,6ejdEewcouk,Kenny Rogers Christmas Songs 2022 🎄 Country Christmas Songs Of Kenny Rogers 🎄 Christmas Carol Music,2021-12-22,728,35,393000,3
1,2021-12-22 20:13:23.598610,FW8fN3OqzCY,Country Christmas Songs Of All Time 🎄 Country Carols Music Playlist 2022 🎄 Best Country Christmas,2021-12-21,1821,44,393000,2
2,2021-12-22 20:13:23.598610,TY9vIT-_QTM,Dolly Parton Christmas Full Album 🎄 Best Christmas Songs Of Dolly Parton,2021-12-20,1916,38,393000,2
3,2021-12-22 20:13:23.598610,NnwvVbd4oL8,Country Christmas Songs 2022 ⭐🎄 Country Carols Music Playlist 2022 ⭐🎄 Best Country Christmas Songs,2021-12-20,1598,26,393000,2
4,2021-12-22 20:13:23.598610,B6LOSPNR4fY,"Alan Jackson, Elvis Presley, Kenny Rogers Country Christmas Songs 🎄 Classic Country Christmas Songs",2021-12-19,2298,33,393000,1
5,2021-12-22 20:13:23.598610,Kq_H0bnwhJI,Beautiful Old Country Christmas Songs Ever Collection 🎄🎅 Merry Country Christmas Songs Playlist 2022,2021-12-19,2037,30,393000,1
6,2021-12-22 20:13:23.598610,vzDuqXbmHA0,Alan Jackson Christmas Songs Playlist 2022 🎄 Best Classic Country Christmas Songs of Alan Jackson,2021-12-18,2126,43,393000,2
7,2021-12-22 20:13:23.598610,bNl9HyAxbNI,"Kenny Rogers, Dolly Parton Country Christmas Songs 🎄 Best Country Christmas Carols",2021-12-18,3346,71,393000,3
8,2021-12-22 20:13:23.598610,rItio9P0ViA,Anne Murray Christmas Songs 2022 🎄 Anne Murray Christmas Carols ⛄🎄 Anne Murray Christmas Music 2022,2021-12-17,3755,41,393000,3
9,2021-12-22 20:13:23.598610,wI_4CIvLXfk,"Alan Jackson,Kenny Rogers,Willie Nelson,BobbyHelms,George Strait 🎄🎄Country Christmas Songs All Time",2021-12-17,3924,38,393000,2
10,2021-12-22 20:13:23.598610,xDGRcJE79Jo,New Year Songs 2022 🎉 Happy New Year Music 2022 🎉 Best Happy New Year Songs Playlist 2022,2021-12-17,1571,18,393000,0
11,2021-12-22 20:13:23.598610,Pzc9_XBsKLM,Classic Country Christmas Music Carol Songs 🎄 Merry Country Christmas Songs 🎄 Christmas Music 2022,2021-12-16,804,26,393000,0
12,2021-12-22 20:13:23.598610,qPuzZ1IIkno,Alan Jackson  Kenny Rogers Country Christmas Songs 🎄 Best Country Christmas Carols,2021-12-15,994,26,393000,1
13,2021-12-22 20:13:23.598610,4gHYn-B-LUQ,Top 100 Country Christmas Songs 🎄 Best Country Christmas Carol Music 🎄 Country Christmas Music 2022,2021-12-14,15047,82,393000,2
14,2021-12-22 20:13:23.598610,xpFO7QxZrmY,Kenny Rogers Christmas Full Album 🎄 Best Christmas Songs Of Kenny Rogers,2021-12-13,13997,147,393000,4
15,2021-12-22 20:13:23.598610,ABlZt6EJs8o,Best Country Christmas Songs all time - Top Classic Country Christmas Songs Carols Playlist 2022,2021-12-13,7300,38,393000,0
16,2021-12-22 20:13:23.598610,DrIhXlWbntU,Merry Country Christmas Songs 🎄🌟 Classic Country Christmas Carols Playlist 🎄🌟 Christmas Music 2022,2021-12-12,6861,88,393000,4
17,2021-12-22 20:13:23.598610,hm26A0PEjCA,"Kenny Rogers,Don Williams,John Denver Country Christmas Songs 🎄 Classic Country Christmas Songs 2022",2021-12-11,4160,52,393000,5
18,2021-12-22 20:13:23.598610,N7t18v46Usc,Dolly Parton  Anne Murray Country Songs 🎄 Classic Country Christmas Songs 2022,2021-12-10,11450,70,393000,3
19,2021-12-22 20:13:23.598610,ZW9nGn3Xyoc,"Country Christmas Songs Of All Time 🎄 Alan Jackson, Dolly Parton, Willie Nelson, Don Williams",2021-12-09,5945,57,393000,5
20,2021-12-22 20:13:23.598610,19lT29GBxb4,Alan Jackson Christmas Songs 🎄 Best Christmas Country Songs By Greatest Singers,2021-12-08,3976,44,393000,3
21,2021-12-22 20:13:23.598610,T0q-Ms574R4,Beautiful Old Country Christmas Songs Ever Collection 🎄 Merry Country Christmas Songs Playlist 2022,2021-12-07,13308,69,393000,2
22,2021-12-22 20:13:23.598610,naFHBJuKdfs,Top Country Christmas Songs 2022 - Best Country Christmas Music Playlist 2022,2021-12-07,14587,49,393000,0
23,2021-12-22 20:13:23.598610,5Bq_NppydCU,Greates Hits Oldies Classic Country Songs - Best Classic Country Music Of All Time - Country Songs,2021-12-07,4970,28,393000,0
24,2021-12-22 20:13:23.598610,DVHPv0xzltI,Music Of All Time - Best Roadtrip Country Songs - Country Music Collection - Country Songs,2021-12-07,3325,24,393000,0
25,2021-12-22 20:13:23.598610,Vr_Es4Xg5VY,Relaxing Country Songs 2021 - Best Of Slow Country Songs Greatest Hits,2021-12-07,6422,43,393000,0
26,2021-12-22 20:13:23.598610,ArMj6lMXkCA,Top 50 Country Christmas Songs of All Time 🎄Country Christmas Music Playlist 🎄Country Christmas 2022,2021-12-06,665,27,393000,1
27,2021-12-22 20:13:23.598610,rVKif66QguU,Alan Jackson  Anne Murray Christmas Songs Playlist 🎄 Best Country Christmas Songs 2022,2021-12-05,752,28,393000,2
28,2021-12-22 20:13:23.598610,nvVOPWuTMSg,Best Relaxing old Country Songs Collection - Top100 Old Country Songs Playlist - Country Music,2021-12-04,443,21,393000,4
29,2021-12-22 20:13:23.598610,ttkGMmLSUvU,"Country Christmas Songs Of All Time 🎄 Kenny Rogers,Alan Jackson,Dolly Parton,Anne Murray,John Denver",2021-12-03,1413,37,393000,2
30,2021-12-22 20:13:23.598610,mws97qas7t8,"Kenny Rogers, Dolly Parton Country Christmas Songs 🎄 Best Country Christmas Carols",2021-12-02,2125,54,393000,1
31,2021-12-22 20:13:23.598610,vNhZkucrozw,"Dolly Parton,Reba McEntire,Anne Murray,Loretta Lynn Greatest Hits - Female Country Songs Collection",2021-12-01,1022,31,393000,4
32,2021-12-22 20:13:23.598610,ihlAaL8WvmM,Alan Jackson Christmas Songs Playlist 2022 - Best Classic Country Christmas Songs of Alan Jackson,2021-11-30,19985,154,393000,4
33,2021-12-22 20:13:23.598610,-uV4VN7q6xE,Dolly Parton  Anne Murray Christmas Songs Playlist - Best Country Christmas Songs 2021,2021-11-29,7097,74,393000,2
34,2021-12-22 20:13:23.598610,w35wP198OTU,Kenny Rogers Greatest Hits - Top 20 Best Songs Of Kenny Rogers - R.I.P Kenny Rogers (1938 - 2020),2021-11-28,1130,60,393000,3
35,2021-12-22 20:13:23.598610,wuw9YOtENyQ,"Country Christmas Songs Of All Time 🎄 Kenny Rogers, Alan Jackson, Dolly Parton, Anne Murray",2021-11-27,4225,50,393000,2
36,2021-12-22 20:13:23.598610,R3YuwSr2v7Y,Best Country Christmas Songs All Time 🌟 Top Classic Country Christmas Songs Carols Playlist 2022,2021-11-26,2509,48,393000,3
37,2021-12-22 20:13:23.598610,z5pvYOeDgdQ,Anne Murray Greatest Hits -  Top 20 Best Songs Of Anne Murray - Anne Murray Country Songs 2021,2021-11-25,653,19,393000,4
38,2021-12-22 20:13:23.598610,qWIHuOs9Uy8,Country Christmas Songs 2022 ♥♥ Country Carols Music Playlist ♥♥ Best Country Christmas Songs,2021-11-24,1917,33,393000,1
39,2021-12-22 20:13:23.598610,Xpxo5_8tLzY,Top 50 Country Christmas Songs of All Time 🎄 Country Christmas Music Playlist 🎄 Country Christmas,2021-11-23,1596,43,393000,2
