video_id,upload_days,title,description,tags,duration,subscriber_count,view22,like_22,comment_22,view_inc_23,view_inc_24_noon,view_inc_24_night,view_inc_25_noon,view_inc_25_night,like_inc_23,like_inc_24_noon,like_inc_24_night,like_inc_25_noon,like_inc_25_night,comment_inc_23,comment_inc_24_noon,comment_inc_24_night,comment_inc_25_noon,comment_inc_25_night,like_26,comment_26,view_26
qxoXvn2l2gA,2676,0,0,0,58.083332,37500000,146237508,116117,0,5564,5027,2185,1926,2039,4,4,2,2,-1,0,0,0,0,0,116130,0,146258146
S-1H31p2BfM,1863,1,0,0,3.75,52400,108663,227,3,118,168,96,78,77,3,2,0,1,0,0,0,0,0,0,233,3,109284
GHUAhyVdyoM,1542,0,0,0,2.1166666,37500000,6326991,9794,0,6120,6677,2281,3759,2418,21,21,5,22,4,0,0,0,0,0,9905,0,6356673
PhTgCfn9474,1872,1,0,0,1.8666667,52400,942418,1113,12,4009,7829,3801,4000,2405,7,9,1,1,2,0,0,0,0,0,1134,12,966237
NlWFhVWjeO0,20,0,6,0,49.333332,0,26501,613,10,584,375,94,206,88,5,2,1,1,1,0,0,0,0,0,628,10,28254
yMEXQNvEszA,3167,0,0,0,4.0,3210000,5597716,38797,2370,663,1477,809,542,319,2,1,2,1,3,0,0,0,0,0,38808,2370,5601909
0tmfdi4_r4w,1505,1,6,7,4.483333,1710000,47539,205,9,89,94,49,47,32,1,0,1,0,0,0,0,0,0,0,207,9,47887
BM_Imj4Y5wE,1838,1,0,0,2.6666667,52400,16039,131,3,224,435,280,104,145,0,0,1,1,0,0,0,0,0,0,133,3,17349
NsX3tYbai1Q,1537,1,8,2,2.8833334,1710000,3733971,19835,419,20943,23429,11580,10661,7026,173,135,81,68,47,0,0,0,0,0,20416,419,3818977
HOcCGGtYcXU,1131,1,0,0,243.75,3410000,234179,1879,39,43,59,31,19,6,0,0,0,0,0,0,0,0,0,0,1879,39,234373
ZFSR0x9AvZo,2564,0,0,1,0.33333334,3210000,56391,1794,96,22,21,12,10,12,1,2,2,0,1,0,0,0,0,0,1801,96,56494
Bvnl0D4w6Mo,1087,0,0,0,2.35,37500000,23646373,47588,0,205165,188868,41509,95893,52740,941,971,241,590,196,0,0,0,0,0,51257,0,24386350
8q3Dzq__1ho,24,1,9,3,2.4666667,1710000,30109,292,38,1061,1409,539,532,381,4,5,2,2,2,0,0,0,1,0,310,39,34502
1LfuBZqXa-4,37,1,2,10,3.7166667,3210000,3250368,44266,913,108362,161499,65300,61609,37023,415,443,156,171,105,7,16,1,2,0,45693,940,3724543
-a2H8sNa1W0,41,2,0,5,485.0,3410000,332165,3760,68,11564,12237,4245,5313,1951,90,79,20,26,24,2,4,0,0,0,4037,74,372840
22CpnPZEhmk,93,0,0,0,502.43332,393000,762,26,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,767
gxubxGnLEmE,1128,1,9,15,12.983334,1710000,327851,1732,121,434,518,253,242,84,7,5,6,2,0,0,1,4,1,0,1752,127,329529
vzfDxDEaFJg,191,0,0,0,489.21667,393000,1059,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,1059
NBLnevQ9yKU,1136,0,1,0,3.2166667,52400,49252,72,4,780,1878,1369,600,521,1,1,0,0,0,0,0,1,0,0,75,5,54791
jSOj6nSSmS0,93,3,6,20,70.85,0,273,5,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,277
q1bs8ed0hK8,1123,0,0,0,2.45,3210000,147688,2193,97,29,26,9,10,4,1,0,0,0,0,0,0,0,0,0,2194,97,147790
G3V52-msD-w,362,1,54,13,75.8,100000,29885,354,31,9,9,2,9,1,0,0,0,0,0,0,0,0,0,0,354,31,29922
qxhshfZ4POo,52,2,18,21,224.13333,0,162263,646,22,4662,8933,2586,2160,597,10,31,15,8,4,0,-1,0,0,0,719,21,183417
h0ghQjfY-Qo,4,2,7,20,64.53333,1710000,9431,166,23,17417,10721,2791,1825,728,99,47,9,15,2,13,2,0,1,1,338,40,43755
-xss9yk_rAY,50,3,14,18,152.31667,413000,50980,455,40,1089,1433,625,499,326,1,4,1,3,1,1,0,0,0,0,466,41,55222
eijYAb1EHrk,390,3,27,18,80.55,413000,640861,4803,212,7071,17270,12265,13864,3910,75,164,140,110,18,0,8,6,4,1,5354,233,699991
e0aB2WURFdA,149,0,0,0,60.65,37500000,553033,1702,0,961,1212,433,422,354,0,2,0,1,2,0,0,0,0,0,1707,0,557232
3NZnBPmdY-U,493,0,0,0,78.51667,100000,1368,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1368
KgL_nhLmKCI,1123,0,0,0,1.6333333,3210000,63904,1492,68,11,10,11,5,3,2,0,0,0,0,0,0,0,0,0,1494,68,63955
XbIOVJTAmJg,1105,2,13,0,4.8333335,37500000,6414633,22050,0,4188,3876,1178,1521,1114,20,22,5,7,-3,0,0,0,0,0,22110,0,6429963
pxJMkd7ibTk,472,3,52,21,76.45,100000,129804,1022,35,202,286,133,176,37,1,1,1,2,0,0,0,0,0,0,1028,35,130727
9eRKaDZQsOQ,1832,0,1,0,2.05,52400,52580,168,5,280,392,249,128,145,1,2,1,1,1,0,0,0,0,0,174,5,53916
dI3toQVr9e8,996,0,0,0,99.36667,3410000,5348884,36836,806,609,544,210,297,142,8,7,1,3,8,1,-1,0,0,0,36867,806,5351266
gZSglmGU2eo,164,0,0,0,2.05,37500000,6495501,32259,0,9292,9363,2270,4515,2866,15,22,3,15,3,0,0,0,0,0,32327,0,6532707
PnrIgrLW-dg,255,0,0,0,2.0166667,37500000,1251851,2539,0,1791,1397,587,384,539,3,3,0,0,-1,0,0,0,0,0,2544,0,1257841
xb380BSLPDc,81,0,0,0,0.0,149000,6423484,36285,0,71776,54998,20983,21009,16962,397,282,121,120,107,0,0,0,0,0,37668,0,6661211
xb380BSLPDc,81,0,0,0,0.0,149000,6424709,36292,0,70551,54998,20983,21009,16962,390,282,121,120,107,0,0,0,0,0,37668,0,6661211
fyzz2w2Q3zo,747,2,6,14,2.95,1710000,106394,419,36,1253,2101,803,723,345,7,3,2,0,0,0,0,0,0,0,432,36,112143
9Q7pnojsCew,1070,0,0,0,1.75,37500000,43296082,117952,0,26973,30905,6837,11209,8677,56,82,21,39,17,0,0,0,0,0,118229,0,43406708
cDyfSGmHwqY,2682,0,0,0,129.75,297000,2110976,10979,986,35,30,9,14,8,2,2,0,0,0,0,0,0,0,0,10982,986,2111089
Kq_VjMAoDvw,44,2,5,21,225.18333,0,451976,1426,42,10196,9052,2821,4164,2204,12,14,3,4,4,2,0,1,0,0,1470,45,486516
gp4nuG1CrLw,92,0,0,0,3.8,50700000,1680441,45168,1929,4911,4722,1885,1899,1479,49,50,17,14,9,0,1,0,0,0,45346,1930,1698675
B95vUu81gyE,379,3,20,15,130.05,413000,72522,227,20,596,449,217,179,109,0,0,0,0,0,0,0,0,0,0,228,20,74151
vNhZkucrozw,25,0,0,0,58.85,393000,1022,31,4,6,4,0,2,0,0,-1,0,0,0,0,0,0,0,0,30,4,1036
bdZY5KT9Jvs,4295,0,0,0,0.65,3210000,79622,122,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,20,79622
ggg8K7Iv6vs,340,0,0,0,0.0,3410000,3332171,29472,0,7150,6552,2375,3296,2077,63,76,33,26,29,0,0,0,0,0,29771,0,3361180
Hk2xhwtR8Qs,11,0,0,11,0.31666666,3210000,69955,2743,85,1779,916,224,172,148,53,24,4,7,4,1,0,0,0,0,2843,86,73466
lrsfP8rPuSQ,2325,0,0,0,250.15,297000,22157,160,19,3,2,0,0,2,1,-1,0,0,0,0,0,0,0,0,160,19,22164
79epIrYCcLA,1168,2,72,19,68.28333,100000,2218,7,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,7,1,2222
_jCyFVgmSSo,1965,0,0,0,213.01666,3410000,5593511,41509,1071,912,815,309,428,250,12,10,6,5,4,0,0,0,0,0,41562,1072,5597217
DW3oRr9TBoE,2701,0,0,0,2.0833333,297000,4984,79,24,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,79,24,4989
Elg5WcGIO4s,116,0,0,0,132.65,393000,2739,39,1,184,115,37,51,26,2,0,0,0,0,0,0,0,0,0,42,3,3256
evzvln9SplI,391,3,32,15,61.666668,413000,13044,68,6,257,373,227,122,134,0,2,1,1,1,0,0,0,0,0,73,6,14257
xY1dlO0JzPI,1465,2,7,17,387.93332,1710000,76981,450,31,238,158,87,71,59,1,1,0,0,0,0,0,0,0,0,452,31,77621
oKJPpf3CHss,16,2,50,21,61.416668,100000,17960,307,11,401,467,223,165,64,4,4,1,3,-1,0,0,0,0,0,319,11,19419
vjM-8c-djWA,1858,0,0,0,214.0,3410000,642546,3614,83,1373,1045,323,445,232,17,2,3,4,2,0,0,0,0,0,3650,83,646644
Qglq6mKDZSk,397,3,21,21,92.9,413000,46328,239,40,37,46,18,21,20,0,0,1,0,0,0,0,0,0,0,240,40,46487
DzdxeYVOxDI,10,0,6,0,36.9,0,7015,220,11,523,324,92,180,54,15,4,0,3,1,0,0,0,0,0,253,11,8469
-Q_51g4rij4,1241,0,0,0,0.8333333,50700000,2010902,40009,2001,8,12,2,5,2,0,-1,-1,0,0,0,0,0,0,0,40007,2001,2010936
czVOlGG4Y7I,81,0,0,0,74.53333,0,1477,29,2,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,29,2,1490
fqPePMR2Vjw,1838,0,1,0,2.3,52400,5205,44,1,2,6,1,1,2,0,0,0,0,0,0,0,0,0,0,44,1,5220
ASftkbPVrfQ,1637,0,0,0,63.866665,37500000,26153835,31776,0,4142,3781,1305,1089,902,3,9,5,4,2,0,0,0,0,0,31805,0,26167050
hcGP3ZvGlHo,2288,0,0,0,122.76667,37500000,32948223,23792,0,10937,8923,3251,2925,2990,12,7,0,4,4,0,0,0,0,0,23828,0,32984090
5gE_HMNCY4o,62,0,0,0,0.3,50700000,6533854,308135,2642,2798,2459,871,1065,863,77,68,17,33,27,-8,0,1,2,1,308410,2636,6543894
6poj1mR_cRY,2517,0,0,0,2.2833333,37500000,23259097,0,0,7221,7642,2943,2928,2813,0,0,0,0,0,0,0,0,0,0,0,0,23289415
ENwgPqv8Jc0,747,3,0,16,242.43333,3410000,167249,1351,24,25,24,9,3,9,0,1,0,0,0,0,0,0,0,0,1352,24,167330
x4Vr5P5yF8Q,1467,0,0,0,3.95,3410000,85405,673,24,79,77,42,48,22,0,0,0,0,0,0,0,0,0,0,673,24,85795
e2YjOSrqUUU,3734,1,0,1,1.9833333,3210000,301985,1893,160,33,36,23,18,6,0,0,0,0,0,0,0,0,0,0,1893,160,302120
HdVxqhbUwv4,194,0,0,0,534.36664,393000,1465,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1,1465
