video_id,view_22,like_22,subscriber_count,comment_22,view_23,like_23,comment_23,view_24,like_24,comment_24,view_24_23,like_24_23,comment_24_23,view_25_9,like_25_9,comment_25_9,view_25_17,like_25_17,comment_25_17,view_26,like_26,comment_26
9Ao5eyIpSXU,203888,2113,3410000,44,203893,2113,44,203901,2113,44,203901,2113,44,203903,2113,44,203905,2113,44,203912,2113,44
heTd7glZcDU,576638,13211,0,138,590714,13439,144,616899,13790,156,625185,13927,166,634804,14024,166,636731,14045,167,643217,14117,167
7R84WQzC9hs,19381213,48516,37500000,0,19490535,49001,0,19602295,49544,0,19625267,49688,0,19684485,49998,0,19709652,50085,0,19824357,50648,0
n4sDIbHD-eQ,974,28,393000,0,974,28,0,974,28,0,974,28,0,974,28,0,974,28,0,974,28,0
gPWEbJqwgtA,37239,200,1710000,13,37621,200,13,38027,201,13,38236,201,13,38392,201,13,38499,202,13,38719,203,13
mNt2RE6FfvE,10125712,13201,37500000,0,10127650,13202,0,10129289,13203,0,10130055,13203,0,10130581,13203,0,10131163,13203,0,10132487,13206,0
TzqTy2FTwjg,13324,218,100000,5,13333,218,5,13340,218,5,13341,218,5,13343,218,5,13343,218,5,13345,218,5
TqbQrdzPgns,40346,287,0,7,40486,288,7,47949,316,8,53822,343,13,57390,354,14,60107,363,14,60272,365,14
9ZhFVA4UW84,229444,985,52400,27,230908,989,26,233336,1003,26,234830,1007,26,235971,1010,26,236903,1010,26,237530,1013,26
x4kW-HmBFDY,24653,311,52400,47,24744,311,47,24931,314,48,25070,318,48,25152,319,48,25218,319,48,25330,323,48
7OVAr0dnL60,296419,2469,1710000,275,305293,2530,280,325775,2706,284,337003,2918,288,360286,3138,296,364280,3156,297,370548,3205,303
hIPEKh_SBR8,4164014,0,37500000,0,4168183,0,0,4172341,0,0,4174269,0,0,4175997,0,0,4177679,0,0,4181567,0,0
4ZnCI7pUPts,68547,1133,297000,59,68632,1134,59,68695,1135,59,68712,1135,59,68728,1135,59,68745,1135,59,68800,1135,59
mZb_gat5YCY,645807,3587,297000,188,646079,3588,188,646370,3588,188,646503,3588,188,646613,3588,188,646736,3589,188,646882,3590,188
lU80dumxO5E,5287,25,52400,1,5296,25,1,5310,25,1,5317,25,1,5322,25,1,5327,25,1,5343,25,1
GiBcpHS0HHA,167054,820,0,28,192029,917,30,255761,1160,31,270163,1206,30,291589,1280,32,301946,1304,32,322962,1396,35
cAqPIlkFyIw,30341,196,0,10,30487,196,10,30659,199,11,30691,199,11,30761,199,11,30773,200,11,30815,201,11
1OPBlCUWWEI,89129,471,52400,11,89293,473,11,89583,475,11,89726,477,11,89838,478,11,89922,478,11,90023,481,11
1OPBlCUWWEI,89129,471,52400,11,89293,473,11,89583,475,11,89726,477,11,89838,478,11,89922,478,11,90023,481,11
tOzutflxGQ8,91493,830,3410000,17,91506,830,17,91511,830,17,91511,830,17,91514,830,17,91515,830,17,91519,830,17
4CK1yzH0riA,901014,5718,413000,204,901322,5720,204,901578,5722,205,901696,5722,205,901768,5722,205,901855,5722,205,902055,5726,205
2X_4ow5gbmY,1940,28,0,7,1942,28,7,1944,28,7,1944,28,7,1944,28,7,1944,28,7,1947,28,7
YTgGyMFieVo,63858,738,3410000,24,63860,738,24,63860,738,24,63860,738,24,63860,738,24,63860,738,24,63860,738,24
vgpmOgnpYHI,2771,55,0,3,2771,55,3,2773,54,3,2775,54,3,2774,54,3,2775,54,3,2776,54,3
VwTH8z2LDac,11549,58,52400,2,11653,58,2,11845,59,2,11916,59,2,12061,59,2,12179,61,2,12316,62,2
1NMv2t69iZI,27281,405,0,11,27446,406,11,27563,406,11,27611,406,11,27679,407,11,27716,407,11,27835,407,11
dxEjZ_TcBgQ,1416866,9706,3210000,388,1417238,9707,388,1417675,9709,388,1418000,9709,388,1418196,9709,388,1418364,9709,388,1418703,9709,388
323gz5xNZMI,5911135,9011,3210000,289,5957371,9072,290,6031303,9130,291,6074034,9162,292,6110120,9184,293,6130151,9199,293,6145548,9218,293
C6tQlRkF59I,155582,718,1710000,29,156066,720,29,156972,722,29,157278,723,29,157583,723,29,157806,723,29,157996,723,29
7_afK1C9mac,123174,708,0,20,124221,711,20,124967,713,21,125110,713,21,125384,713,21,125540,713,21,125914,715,21
uP1oAeWWK_w,79142,1318,3210000,147,79142,1318,147,79142,1318,147,79143,1318,147,79142,1318,147,79143,1318,147,79144,1318,147
HCjnYr_lwL4,8748,83,297000,10,8751,84,10,8755,84,10,8756,84,10,8757,84,10,8759,84,10,8761,84,10
IQDkcpKPdZ4,4616904,45916,3210000,1434,4620021,45938,1435,4623009,45962,1435,4624458,45973,1435,4625656,45982,1435,4626640,45985,1435,4628661,45996,1435
0yhI35F2NB0,18230781,31474,3210000,896,18331024,31643,901,18493349,31890,903,18582582,32018,906,18665236,32109,907,18713804,32163,909,18752686,32225,910
0waPt7olgk4,31908,491,0,8,32303,495,8,32511,496,8,32575,496,8,32696,497,8,32744,497,8,32952,497,8
w1a530WQQwA,854337,1579,52400,32,860354,1597,32,872256,1612,33,877914,1621,33,884786,1628,34,889032,1630,34,892291,1631,34
EqkFlZaSLx8,32309,294,100000,19,32317,294,19,32334,294,19,32339,294,19,32346,294,19,32356,294,19,32360,294,19
voCrQ1ebEdU,89690570,0,37500000,0,89757393,0,0,89806481,0,0,89824357,0,0,89841764,0,0,89855026,0,0,89898453,0,0
AgtMqpl9kmo,46187,979,8220000,60,46197,979,60,46206,979,60,46210,979,60,46211,980,60,46213,980,60,46222,981,60
h4cs52JLUVk,21037,316,0,11,21157,318,11,21282,319,11,21329,319,11,21377,319,11,21424,319,11,21574,321,11
TDZF8Il7_9A,729,5,100000,1,729,5,1,729,5,1,729,5,1,729,5,1,729,5,1,729,5,1
sy0Zr_UrFp0,7793270,17264,37500000,0,7795192,17265,0,7796895,17264,0,7797690,17264,0,7798283,17264,0,7798953,17265,0,7800579,17267,0
6FYgooYrBmY,1404,33,393000,2,1404,33,2,1405,33,2,1405,33,2,1405,33,2,1405,33,2,1405,33,2
IG0xOBziYno,379685,1216,37500000,0,381589,1218,0,383305,1221,0,384088,1222,0,384663,1224,0,385305,1225,0,386677,1228,0
1Srjo2SbQj4,11753,95,0,6,11777,95,6,11799,95,6,11803,95,6,11805,95,6,11806,95,6,11816,95,6
c2u1KBrSaiE,60616,258,0,18,67125,271,19,73170,290,19,74238,291,19,75746,299,19,76601,303,19,77680,305,19
XPekztXMMP8,3007,61,393000,2,3017,61,2,3028,61,2,3032,61,2,3038,61,2,3041,61,2,3049,61,2
8pcTe1ZwiJM,3052,46,393000,2,3053,46,2,3053,46,2,3053,46,2,3053,46,2,3053,46,2,3053,46,2
N-m4MRvyRS4,818,33,393000,2,818,33,2,818,33,2,818,33,2,818,33,2,818,33,2,821,33,2
AK7ZEvltWkw,74863,293,1710000,17,75026,293,17,75183,293,17,75231,293,17,75292,293,17,75317,293,17,75373,293,17
8A0WFAIxAjw,1424844,5737,0,231,1479213,5834,255,1529619,5927,260,1537945,5938,260,1551153,5969,260,1557010,5984,260,1568278,6002,261
SDKbw7OwaNc,8804,37,52400,0,8849,37,0,8922,37,0,8975,37,0,9006,38,0,9035,38,0,9067,38,0
RzNSR0Zsbl0,10103,153,100000,13,10110,153,13,10123,153,13,10125,153,13,10128,153,13,10129,153,13,10134,153,13
0TvmLsn8IB8,3210208,13107,37500000,0,3227128,13164,0,3247576,13243,0,3252900,13264,0,3264156,13314,0,3271200,13339,0,3296954,13465,0
fa5Yh4LSlPQ,1042,11,100000,0,1042,11,0,1043,11,0,1043,11,0,1043,11,0,1044,11,0,1044,11,0
S6gjFqAqWPs,18751,269,100000,39,18770,269,39,18786,269,39,18789,269,39,18792,269,39,18793,269,39,18797,269,39
8D7JjrHjetM,2326,33,52400,7,2332,34,7,2339,34,7,2342,34,7,2349,34,7,2353,34,7,2354,34,7
TqSlFuGoTRI,387,9,393000,0,389,9,0,389,9,0,391,9,0,391,9,0,392,9,0,394,9,0
GpxoWDbmg5o,10612,144,100000,7,10618,144,7,10623,144,7,10625,144,7,10627,144,7,10628,144,7,10631,144,7
s0EMBz7uKxc,124057,5341,8220000,459,124065,5341,459,124079,5343,459,124088,5343,459,124091,5343,459,124097,5343,459,124110,5343,459
MCiWs58gAKA,391022,3926,8220000,495,391054,3931,496,391093,3932,496,391099,3932,496,391116,3932,496,391128,3932,496,391156,3934,496
XyUxgodiZvc,1413,18,100000,1,1413,18,1,1413,18,1,1413,18,1,1413,18,1,1413,18,1,1413,18,1
myje0obTaAs,1236,37,393000,4,1236,37,4,1236,37,4,1236,37,4,1236,37,4,1236,37,4,1236,37,4
dsd3is3M1i0,882,16,100000,2,882,16,2,882,16,2,882,16,2,882,16,2,882,16,2,882,16,2
pt1hZ_yG498,32068,1977,3210000,74,32839,2016,75,33344,2039,76,33559,2045,76,33743,2051,76,33929,2059,76,34348,2073,76
eR7B5cp2J74,18299,278,100000,16,18325,278,16,18345,278,16,18350,278,16,18356,278,16,18359,278,16,18369,279,16
zA_hxZ4n8Xw,11446,187,100000,9,11659,188,9,11959,189,9,12099,190,9,12192,190,9,12256,190,9,12397,190,10
6g4qZh9qt_k,23099528,63464,37500000,0,23114551,63504,0,23129333,63532,0,23134051,63544,0,23139672,63565,0,23144364,63572,0,23159091,63600,0
Vc8HT3xLpmE,7620,7,52400,0,7670,7,0,7763,7,0,7799,7,0,7883,7,0,7931,7,0,8008,7,0
eggXukdl4ag,5056,56,393000,4,5329,58,4,5618,63,5,5755,64,5,5844,64,5,5933,64,5,6051,64,5
GVTfHUBQ3V4,322284,1270,0,38,331993,1294,38,355719,1327,42,362259,1338,42,370492,1357,42,373544,1365,42,377477,1369,42
ilyOd8NVXZA,88928,1064,8220000,52,88949,1065,52,88963,1065,52,88970,1065,52,88974,1065,52,88975,1065,52,88992,1066,52
BuU9FQWcxNA,377805,2946,297000,304,377882,2949,304,377952,2949,304,377989,2949,304,378012,2949,304,378037,2950,304,378101,2950,304
YGQLVUlAvdQ,111626,452,413000,30,113501,457,30,116155,467,31,117695,470,31,119075,471,31,120172,471,31,120885,471,31
I6n_kd2Zpxo,45666,274,413000,23,49591,284,22,52501,298,24,55041,310,24,55939,319,24,56758,322,24,57459,328,25
3ffPH0sBCwQ,83360,567,413000,13,145913,989,19,210808,1387,25,226922,1462,25,242643,1513,27,251926,1530,28,260212,1544,30
6B9J3lEyffA,105457555,508261,50700000,9480,105465531,508286,9480,105473609,508317,9481,105476390,508337,9481,105480235,508349,9481,105482717,508354,9481,105488844,508371,9482
Gj8OaaX7uQg,64505041,213220,37500000,0,64545558,213353,0,64577620,213469,0,64586654,213511,0,64600897,213575,0,64610059,213592,0,64635359,213655,0
wM6ppOuPuxk,806899,1335,1710000,42,808919,1340,42,811405,1350,42,812609,1354,42,814057,1357,42,815066,1358,42,816051,1363,42
